"SSN","FNAME","MNAME","LNAME","PHONE","HOME_MAILING ADDRESS","CAMPUS_ADDRESS","IS_ACTIVE","DATE_OF_JOINING","MEMBERSHIP_EXPIRY","MEMBER_TYPE","COMMENTS"
"351475268","Sisely","K","Thirlwall","4374591441","588 Butterfield Pass","85051 Elgar Drive","1","1992-08-07","2024-05-02","0",NULL
"381596986","Jdavie","X","Mulheron","1331319795","3 American Ash Center","65 Milwaukee Junction","1","2016-10-29","2024-05-02","0",NULL
"411726343","Sella","I","Ashpital","5352450062","81363 Hazelcrest Crossing","84 Burrows Crossing","1","2001-08-25","2020-08-07","0",NULL
"466947778","Mathian","T","Davidsohn","6989940088","7 Crescent Oaks Pass","3 Troy Crossing","1","2004-04-19","2020-09-07","1",NULL
"487534189","Philippine","G","Carss","9033284088","24582 Kim Crossing","1091 Gerald Alley","0","1993-12-20","2020-10-07","1",NULL
"502838902","Odele","L","Lanham","7666906720","15072 Dottie Avenue","74 Jay Hill","1","2014-07-26","2020-11-07","0",NULL
"518201102","Dirk","P","Lindro","4665687098","21350 Moulton Avenue","63975 Rutledge Drive","1","2008-12-26","2020-12-07","0",NULL
"527295112","Cosimo","D","Snartt","5361477027","1526 Independence Way","69 Aberg Crossing","1","1992-03-27","2020-01-02","0",NULL
"550473765","Ernst","P","Capozzi","6163307748","94 Fair Oaks Parkway","39788 Onsgard Pass","1","2008-09-23","2020-02-02","1",NULL
"596621494","Diana","Y","Walworth","9327400222","12499 Fisk Hill","91 Bunting Parkway","0","1998-01-16","2020-02-02","0",NULL
"642188827","Cassi","C","Fairbard","5783558417","0 New Castle Drive","4 Graceland Avenue","0","2008-03-04","2020-03-02","1",NULL
"643252660","Hillary","M","Woofinden","4609086056","35446 Marquette Crossing","79 Shasta Place","0","1993-07-15","2020-04-02","1",NULL
"667761714","Tobit","Y","Snawdon","3493927088","7 Killdeer Way","9279 Little Fleur Terrace","0","1999-09-11","2020-05-02","0",NULL
"696721702","Alie","V","Jehan","6601088860","85337 Meadow Valley Avenue","2 Boyd Hill","0","1995-07-30","2020-06-02","1",NULL
"705694312","Chelsy","H","Spellecy","5923156478","814 Cherokee Point","829 Meadow Valley Junction","0","2010-04-07","2020-07-02","0",NULL
"732820010","Konstantine","V","Artist","3965968657","91 Melody Crossing","3 Bluestem Way","0","2017-01-17","2020-08-02","0",NULL
"758419097","Nonah","N","Ponton","8504296600","72 Calypso Plaza","88 Mockingbird Alley","0","2018-01-05","2020-09-02","0",NULL
"790220195","Ema","N","Donn","9324369010","3731 Elka Hill","9727 Golf Course Drive","1","2016-11-01","2020-10-02","0",NULL
"799003369","Russ","J","Feldmus","1471581983","13480 Manufacturers Road","97246 Donald Parkway","0","2017-05-19","2020-11-02","0",NULL
"806957816","Lotta","F","Cockarill","4483996789","27 Manley Junction","342 Blaine Crossing","1","2000-08-02","2020-12-02","0",NULL
"860693966","Gavra","S","Cars","7133728527","0546 Butternut Lane","1334 Lerdahl Parkway","1","2020-04-06","2020-01-27","0",NULL
"864651125","Bartolemo","O","Westbury","3207699481","076 Reinke Pass","00726 Manufacturers Lane","1","1997-10-09","2020-02-27","0",NULL
"883488595","Tatiania","Y","Iacofo","8241061769","26196 Dovetail Court","0 Onsgard Avenue","0","1990-10-09","2020-03-27","0",NULL
"905360861","Ogdan","P","Ambrosetti","5038601958","65674 Waxwing Terrace","89 Division Point","1","2016-12-21","2020-04-27","1",NULL
"910066118","Nelie","Z","Magrane","5035195906","90675 Dovetail Place","8878 Fuller Crossing","0","2004-07-30","2020-05-27","0",NULL
"945973828","Elise","D","Marchiso","6384633547","8740 Brown Drive","279 Surrey Avenue","0","2006-09-23","2020-06-27","0",NULL
"966826841","Mariel","J","Kiefer","3424955280","75 Fallview Place","1 Coleman Center","1","1992-05-24","2020-07-27","1",NULL
"975730668","Tonye","S","Jeggo","7894872199","54139 Hoard Parkway","02 Doe Crossing Circle","0","1996-12-10","2020-08-27","1",NULL
"990483425","Lexy","W","Geard","8029149648","2217 Hermina Junction","88 Manley Circle","1","2015-11-26","2020-09-27","1",NULL
