"Isbn","SSN","TITLE","DESCRIPTION","SUBJECT_AREA"
"10998213313","213535704","The Dairy of a Young Girl","abcd","Non-Fiction"
"12063390540","213535704","Harry Potter and the Philsopher's Stone","abcd","Fiction"
"12345678901","213535704","Applied Mathematics-I","abcd","Mathematics"
"14974539935","213535704","Steve Jobs","abcd","Non-Fiction"
"18533792071","213535704","Harry Potter and the Chamber of Secrets","abcd","Fiction"
"20585409442","213535704","Wonder","abcd","Fiction"
"22096364365","213535704","The Adventures of Tom Sawyer","abcd","Literature"
"23945493696","213535704","Wool","abcd","Fiction"
"25974233867","213535704","HEAD FIRST JAVA","abcd","Programming"
"27260506091","213535704","Outlander","abcd","Fiction"
"27931229109","213535704","Fundamentals of Database Systems","abcd","Programming"
"30774107178","213535704"," Catch-22","abcd","Literature"
"30920288291","213535704","The Hitchhiker's Guide to the Galaxy","abcd","Science Fiction"
"33226486961","213535704","Neural Network Design","abcd","Programming"
"35270756718","213535704","Dune","abcd","Science Fiction"
"38425519962","213535704","Foundation","abcd","Science Fiction"
"49163453748","213535704","Frankenstein","abcd","Science Fiction"
"50243324191","213535704","The book Thief","abcd","Fiction"
"50680991225","213535704","How to Win Friends and Influence People","abcd","Non-Fiction"
"51895206346","213535704","Sapiens: A Brief History of Humankind","abcd","Non-Fiction"
"52164525743","213535704"," One Hundred Years of Solitude","abcd","Literature"
"56118942707","213535704"," CLEAN CODE: A HANDBOOK OF AGILE SOFTWARE CRAFTSMANSHIP","abcd","Programming"
"61595403446","213535704","When Breath Becomes Air","abcd","Non-Fiction"
"67047678276","213535704","The Great Gatsby","abcd","Literature"
"68027409809","213535704","A Brief History of Time","abcd","Non-Fiction"
"69493902479","213535704"," Ulysses","abcd","Literature"
"75645730061","213535704","Surely You’re Joking, Mr. Feynman!","abcd","Non-Fiction"
"76660995554","213535704","The Illaid","abcd","Literature"
"77012553153","213535704","Manual for Living","abcd","Non-Fiction"
"77418583213","213535704","INTRODUCTION TO ALGORITHMS","abcd","Programming"
"77614910635","213535704","Jurassic Park","abcd","Science Fiction"
"82608175688","213535704","Don Quixote","abcd","Literature"
"85269652460","213535704","Solaris","abcd","Science Fiction"
"87927505544","213535704","Mamba Mentality","abcd","Non-Fiction"
"90069909161","213535704","The Tale of two Cities","abcd","Literature"
"91820234170","213535704","WORKING EFFECTIVELY WITH LEGACY CODE","abcd","Programming"
"96385274102","213535704","Life of Pi","1111","Fiction"
"97743045345","213535704","Treasure Island","abcd","Literature"
"98765432101","213535704","Reinforcement Learning","abcd","Programming"
