"SSN","NAME","LIBRARIAN_TYPE","Phone_NO."
"155281869","Jorie Franek","2","8321547364"
"213535704","Lynnell Cowper","5","2912060410"
"225463109","Iggy McLelland","4","2613723716"
"360634758","Glyn More","4","6256458599"
"449502580","Gianina Benoey","3","3972552223"
"474072792","Kristan Sowray","3","5956061990"
"510550817","Farrell Doorbar","1","6201926085"
"599451697","Tammie Offill","1","6501232211"
"647510432","Carolee Barrass","2","9785647898"
"708483095","Corri Vasilchenko","1","9506525403"
"759762980","Morten Danks","1","4998960967"
"775114634","Almeda Hanner","4","8784300209"
"785522354","Olia Damiral","1","6677375476"
"855875642","Brynne Devlin","4","2867031117"
"890687421","Beatrice Culcheth","2","5957743686"
